budget,duration_planned,material_cost_index,weather_delay_days,labor_skill_rating,site_access_rating,project_complexity_rating,contract_type,trend,overrun_flag
4404020,22,1.102439788896696,11,5,4,3,1,0,1
3008768,13,0.7756383328485628,10,4,1,2,1,0,0
4821584,44,1.4908072437830624,6,4,4,3,0,0,0
8152359,37,1.0740934817754997,9,3,2,5,0,1,1
2840549,21,1.027778470239077,6,4,3,1,0,1,0
2840577,23,1.5472350821110206,9,4,1,4,1,1,0
8431857,60,0.8394383666126926,18,3,4,5,1,0,1
5180752,60,0.8686032214920076,14,5,3,3,0,1,1
2466511,14,0.8759449187828586,7,2,2,2,1,-1,1
4526846,32,1.1330321545751294,10,5,5,4,1,-1,0
2475491,23,1.2579079074093993,7,3,1,3,0,0,0
2472059,15,1.3349188670294583,9,3,3,2,1,0,0
3779783,35,1.792998829373742,12,2,2,3,0,1,0
1037196,6,0.7,7,3,2,3,1,0,0
1161298,9,1.3021838972811042,14,3,1,5,0,0,0
2332911,12,1.010717356856942,9,5,1,4,0,0,0
1780315,9,1.0033962127778064,9,5,4,3,0,1,0
3947323,27,0.9950569679365305,9,5,4,4,1,0,1
1895864,15,0.9228075822980066,10,3,1,5,1,0,0
1400889,11,1.5711312086508629,14,5,1,2,0,1,1
7876461,41,1.3605743317534755,11,3,3,3,1,0,1
2854862,23,1.1557989946393437,12,4,4,5,1,-1,1
3404187,33,1.48775393812175,15,2,2,5,1,0,1
1390468,16,0.771867758675281,7,3,4,2,0,-1,1
2358108,16,0.8173237171672684,14,5,4,2,0,1,0
3493985,24,0.7,7,5,1,3,1,0,0
1638683,8,0.9751463649691781,7,4,1,1,0,1,0
4095579,39,1.1904246316761882,9,4,4,4,0,0,0
2279842,17,1.1757146444830835,10,2,5,2,0,1,0
2744154,14,1.18733547776497,13,4,5,2,0,-1,0
2278381,11,0.7972357922334794,12,3,4,3,0,-1,1
9932938,60,1.3507886856535054,17,1,5,5,1,-1,1
3242650,23,1.2099068795597494,14,2,4,3,0,0,0
1733015,15,1.3332635703664995,12,2,1,3,0,-1,1
5354923,25,0.7,7,4,1,5,0,0,1
1571425,17,1.2278727146994475,5,2,1,4,1,0,1
3705460,17,0.8530586900206182,11,3,2,3,1,0,0
1008725,6,1.0506691868621594,12,3,1,3,1,0,1
1473407,9,1.2835912246590957,10,3,1,2,0,-1,0
3678872,49,1.1727734015639781,16,4,4,4,0,1,1
5091484,36,0.9371150050551702,20,4,5,3,1,0,1
3623028,27,1.1515682890461045,8,3,5,3,1,1,1
3049874,32,0.7671161711890891,12,3,1,2,1,0,0
2728705,16,1.4375668489745739,10,3,1,3,0,1,1
1346321,6,1.098678995125937,12,4,1,4,0,0,1
